explored  time (s)  solution           fval        gap (%)                                         
 4800032    675.88         1   1.000000e+01   9.999000e-03                                          
 4810032    677.24         1   1.000000e+01   9.999000e-03                                          
 4820032    678.60         1   1.000000e+01   9.999000e-03                                          
 4830032    679.93         1   1.000000e+01   9.999000e-03                                          
 4840032    681.24         1   1.000000e+01   9.999000e-03                                          
 4850032    682.55         1   1.000000e+01   9.999000e-03                                          
 4860032    683.87         1   1.000000e+01   9.999000e-03                                          
 4870032    685.15         1   1.000000e+01   9.999000e-03                                          
 4880032    686.41         1   1.000000e+01   9.999000e-03                                          
 4890032    687.66         1   1.000000e+01   9.999000e-03                                          
 4900032    689.08         1   1.000000e+01   9.999000e-03                                          
 4910032    690.48         1   1.000000e+01   9.999000e-03                                          
 4920032    691.94         1   1.000000e+01   9.999000e-03                                          
 4930032    693.41         1   1.000000e+01   9.999000e-03                                          
 4940032    694.97         1   1.000000e+01   9.999000e-03                                          
 4950032    696.78         1   1.000000e+01   9.999000e-03                                          
 4960032    698.25         1   1.000000e+01   9.999000e-03                                          
 4970032    699.68         1   1.000000e+01   9.999000e-03                                          
 4980032    701.08         1   1.000000e+01   9.999000e-03                                          
 4990032    702.50         1   1.000000e+01   9.999000e-03                                          
 5000032    703.89         1   1.000000e+01   9.999000e-03                                          
 5010032    705.26         1   1.000000e+01   9.999000e-03                                          
 5020032    706.54         1   1.000000e+01   9.999000e-03                                          
 5030032    707.80         1   1.000000e+01   9.999000e-03                                          
 5040032    709.03         1   1.000000e+01   9.999000e-03                                          
 5050032    710.25         1   1.000000e+01   9.999000e-03                                          
 5060032    711.73         1   1.000000e+01   9.999000e-03                                          
 5070032    713.07         1   1.000000e+01   9.999000e-03                                          
 5080032    714.43         1   1.000000e+01   9.999000e-03                                          
 5090032    715.82         1   1.000000e+01   9.999000e-03                                          
 5100032    717.22         1   1.000000e+01   9.999000e-03                                          
 5110032    718.59         1   1.000000e+01   9.999000e-03                                          
 5120032    719.94         1   1.000000e+01   9.999000e-03                                          
 5130032    721.28         1   1.000000e+01   9.999000e-03                                          
 5140032    722.76         1   1.000000e+01   9.999000e-03                                          
 5150032    724.11         1   1.000000e+01   9.999000e-03                                          
 5160032    725.42         1   1.000000e+01   9.999000e-03                                          
 5170032    726.65         1   1.000000e+01   9.999000e-03                                          
 5180032    728.01         1   1.000000e+01   9.999000e-03                                          
 5190032    729.53         1   1.000000e+01   9.999000e-03                                          
 5200032    730.99         1   1.000000e+01   9.999000e-03                                          
 5210032    732.80         1   1.000000e+01   9.999000e-03                                          
 5220032    734.30         1   1.000000e+01   9.999000e-03                                          
 5230032    735.81         1   1.000000e+01   9.999000e-03                                          
 5240032    737.33         1   1.000000e+01   9.999000e-03                                          
 5250032    739.12         1   1.000000e+01   9.999000e-03                                          
 5260032    740.41         1   1.000000e+01   9.999000e-03                                          
 5270032    741.68         1   1.000000e+01   9.999000e-03                                          
 5280032    742.91         1   1.000000e+01   9.999000e-03                                          
 5290032    744.27         1   1.000000e+01   9.999000e-03                                          
 5300032    745.64         1   1.000000e+01   9.999000e-03                                          
 5310032    746.95         1   1.000000e+01   9.999000e-03                                          
 5320032    748.29         1   1.000000e+01   9.999000e-03                                          
 5330032    749.57         1   1.000000e+01   9.999000e-03                                          
 5340032    750.87         1   1.000000e+01   9.999000e-03                                          
