LP:                Optimal objective value is 1.968750.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
      16      0.03         1   6.000000e+00   5.000833e+01                                          
   10016      1.95         1   6.000000e+00   1.668055e+01                                          
   20016      3.43         1   6.000000e+00   1.668055e+01                                          
   30016      4.26         1   6.000000e+00   1.666389e-02                                          
   40016      5.12         1   6.000000e+00   1.666389e-02                                          
   50016      5.97         1   6.000000e+00   1.666389e-02                                          
   60016      6.85         1   6.000000e+00   1.666389e-02                                          
   70016      7.75         1   6.000000e+00   1.666389e-02                                          
   80016      8.67         1   6.000000e+00   1.666389e-02                                          
   90016      9.59         1   6.000000e+00   1.666389e-02                                          
  100016     10.50         1   6.000000e+00   1.666389e-02                                          
  110016     11.40         1   6.000000e+00   1.666389e-02                                          
  120016     12.26         1   6.000000e+00   1.666389e-02                                          
  130016     13.13         1   6.000000e+00   1.666389e-02                                          
  140016     13.98         1   6.000000e+00   1.666389e-02                                          
  150016     14.82         1   6.000000e+00   1.666389e-02                                          
  160016     15.66         1   6.000000e+00   1.666389e-02                                          
  170016     16.47         1   6.000000e+00   1.666389e-02                                          
  180016     17.28         1   6.000000e+00   1.666389e-02                                          
  190016     18.06         1   6.000000e+00   1.666389e-02                                          
  200016     18.83         1   6.000000e+00   1.666389e-02                                          
  210016     19.55         1   6.000000e+00   1.666389e-02                                          
  220016     20.31         1   6.000000e+00   1.666389e-02                                          
  230016     21.06         1   6.000000e+00   1.666389e-02                                          
  240016     21.90         1   6.000000e+00   1.666389e-02                                          
  250016     22.65         1   6.000000e+00   1.666389e-02                                          
  260016     23.40         1   6.000000e+00   1.666389e-02                                          
  270016     24.16         1   6.000000e+00   1.666389e-02                                          
  280016     24.93         1   6.000000e+00   1.666389e-02                                          
  290016     25.69         1   6.000000e+00   1.666389e-02                                          
  300016     26.49         1   6.000000e+00   1.666389e-02                                          
  310016     27.25         1   6.000000e+00   1.666389e-02                                          
  320016     28.03         1   6.000000e+00   1.666389e-02                                          
  330016     28.84         1   6.000000e+00   1.666389e-02                                          
  340016     29.64         1   6.000000e+00   1.666389e-02                                          
  350016     30.50         1   6.000000e+00   1.666389e-02                                          
  360016     31.39         1   6.000000e+00   1.666389e-02                                          
  370016     32.26         1   6.000000e+00   1.666389e-02                                          
  380016     33.12         1   6.000000e+00   1.666389e-02                                          
  390016     33.99         1   6.000000e+00   1.666389e-02                                          
  400016     34.83         1   6.000000e+00   1.666389e-02                                          
  410016     35.68         1   6.000000e+00   1.666389e-02                                          
  415754     36.14         1   6.000000e+00   0.000000e+00                                          

Optimal solution found.

Intlinprog stopped because the objective value is within a gap tolerance of the optimal value; options.TolGapAbs = 0 (the
default value). The intcon variables are integer within tolerance, options.TolInteger = 1e-05 (the default value).

Gries_bound = 6, [k, d, n] = [6, 1, 6], x = [ 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]


LP:                Optimal objective value is 3.937500.                                             

Branch and Bound:

   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
      12      0.03         1   7.000000e+00   2.858163e+01                                          
   10012      1.54         1   7.000000e+00   1.428367e-02                                          
   20012      2.78         1   7.000000e+00   1.428367e-02                                          
   20594      2.85         1   7.000000e+00   0.000000e+00                                          

Optimal solution found.

Intlinprog stopped because the objective value is within a gap tolerance of the optimal value; options.TolGapAbs = 0 (the
default value). The intcon variables are integer within tolerance, options.TolInteger = 1e-05 (the default value).

Gries_bound = 7, [k, d, n] = [6, 2, 7], x = [ 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0]


LP:                Optimal objective value is 5.906250.                                             

Branch and Bound:

